,AsciiPosition,AsciiCaracter,Porcentaje
13,46,.,5.060728744939271
11,44,",",6.680161943319838
6,39,',9.7165991902834
25,58,:,10.121457489878543
26,59,;,11.740890688259109
63,96,`,12.348178137651821
62,95,_,18.62348178137652
1,34,"""",19.4331983805668
12,45,-,20.850202429149796
59,92,\,21.65991902834008
72,105,i,21.86234817813765
0,33,!,21.86234817813765
61,94,^,23.076923076923077
73,106,j,23.076923076923077
75,108,l,23.88663967611336
40,73,I,23.88663967611336
81,114,r,24.493927125506072
16,49,1,28.13765182186235
91,124,|,28.34008097165992
8,41,),29.959514170040485
7,40,(,29.959514170040485
9,42,*,30.97165991902834
14,47,/,31.37651821862348
60,93,],31.983805668016196
58,91,[,31.983805668016196
83,116,t,32.18623481781376
69,102,f,32.18623481781376
85,118,v,32.59109311740891
88,121,y,33.60323886639676
90,123,{,33.80566801619433
92,125,},33.80566801619433
93,126,~,34.21052631578947
87,120,x,34.412955465587046
43,76,L,35.4251012145749
66,99,c,35.82995951417004
56,89,Y,36.63967611336032
10,43,+,36.63967611336032
51,84,T,36.63967611336032
41,74,J,36.63967611336032
30,63,?,36.8421052631579
27,60,<,38.46153846153846
29,62,>,38.46153846153846
89,122,z,38.8663967611336
22,55,7,39.67611336032389
77,110,n,39.878542510121456
84,117,u,39.878542510121456
28,61,=,41.70040485829959
74,107,k,42.10526315789474
78,111,o,42.51012145748988
37,70,F,43.31983805668016
64,97,a,44.93927125506073
79,112,p,45.95141700404859
70,103,g,45.95141700404859
80,113,q,45.95141700404859
19,52,4,46.15384615384615
68,101,e,46.35627530364373
82,115,s,46.76113360323887
71,104,h,46.76113360323887
53,86,V,46.963562753036435
55,88,X,49.392712550607285
17,50,2,50.0
42,75,K,50.607287449392715
34,67,C,50.607287449392715
67,100,d,51.821862348178136
65,98,b,51.821862348178136
18,51,3,52.02429149797571
32,65,A,52.02429149797571
57,90,Z,52.63157894736842
86,119,w,52.63157894736842
52,85,U,53.64372469635627
47,80,P,54.45344129554656
36,69,E,55.87044534412956
50,83,S,56.68016194331984
39,72,H,56.88259109311741
38,71,G,57.89473684210526
15,48,0,57.89473684210526
20,53,5,58.29959514170041
46,79,O,59.51417004048583
76,109,m,60.72874493927125
24,57,9,61.74089068825911
21,54,6,61.74089068825911
35,68,D,62.34817813765182
45,78,N,63.56275303643725
48,81,Q,63.96761133603239
49,82,R,64.77732793522267
2,35,#,67.61133603238866
23,56,8,68.21862348178138
33,66,B,73.6842105263158
54,87,W,73.88663967611336
5,38,&,75.91093117408907
4,37,%,76.11336032388664
3,36,$,77.53036437246963
44,77,M,78.13765182186235
31,64,@,100.0
